"","Day","stable.iprime","avg.iprime","stdev.iprime","stable.avg.difference","timetostable.minutes","dayofweek","Temp"
"1",1,0.482935,0.485386239520958,0.00595589926933918,-0.0024512395209581,33.3739200000014,3,NA
"2",2,0.48339,0.485278405189621,0.00334612718609036,-0.0018884051896208,33.2008800000017,4,NA
"3",3,0.483618,0.488309608782435,0.00392889393680241,-0.00469160878243513,33.3411000000024,5,NA
"4",4,0.486348,0.492590443113772,0.00434117200065345,-0.00624244311377248,33.2629199999883,6,NA
"5",5,0.486121,0.49003896031746,0.00987433198739182,-0.00391796031746028,33.3386400000018,2,1791
"6",6,0.485324,0.490384960159363,0.00435366936050559,-0.00506096015936258,32.2470000000021,3,NA
"7",7,0.490216,0.492236480079681,0.00374078032871034,-0.00202048007968131,32.482500000001,4,NA
"8",8,0.491581,0.493195298210736,0.00417517716380278,-0.00161429821073561,31.4128799999935,5,NA
"9",9,0.49306,0.494296986055777,0.00491781942470611,-0.00123698605577688,32.3371199999929,6,NA
"10",10,0.49306,0.495757612648221,0.011781928284586,-0.00269761264822133,31.5175799999952,2,1795
"11",11,0.500455,0.502059003976143,0.00207428107355193,-0.00160400397614313,30.8063999999968,3,NA
"12",12,0.501365,0.507392968190855,0.00353825496286702,-0.00602796819085494,31.2741600000027,4,NA
"13",13,0.502844,0.508569103379722,0.011784377743354,-0.00572510337972176,32.2396799999933,5,NA
"14",14,0.505006,0.508331592445328,0.0052542220237257,-0.00332559244532804,31.3717799999949,6,NA
"15",15,0.506257,0.50670228458498,0.0142652836362205,-0.000445284584980277,31.1583000000019,2,1793
"16",16,0.493857,0.496534133466135,0.00283938472646202,-0.00267713346613546,32.3710800000026,3,NA
"17",17,0.495791,0.497860928286853,0.00434349173613958,-0.0020699282868526,32.2159800000054,4,NA
"18",18,0.498294,0.499977306772908,0.0103847416429842,-0.00168330677290834,32.9667599999993,5,NA
"19",19,0.499886,0.507380932270916,0.00387671848539,-0.0074949322709163,32.5050000000056,6,NA
"20",20,0.509215,0.509987561264822,0.0102466682863986,-0.000772561264822169,30.5134199999929,2,1792
"21",21,0.511945,0.513034846918489,0.00264795918455199,-0.00108984691848912,31.1507400000073,3,NA
"22",22,0.512969,0.514742198807157,0.00347240195411115,-0.00177319880715709,31.280699999993,4,NA
"23",23,0.515927,0.517351357852883,0.00414261838296811,-0.00142435785288264,31.4480999999932,5,NA
"24",24,0.517975,0.520048694444444,0.00200826791583153,-0.0020736944444445,30.2827800000023,6,NA
"25",25,0.521729,0.523152265873016,0.00255988580851378,-0.00142326587301589,30.1830599999948,2,NA
"26",26,0.523549,0.524362197238659,0.0118895848049685,-0.000813197238658692,29.6053200000006,3,1785
"27",27,0.524573,0.526433766336634,0.00219600353204484,-0.00186076633663368,29.538720000005,4,NA
"28",28,0.526962,0.528432658102767,0.00935408769457109,-0.00147065810276681,29.1722400000026,5,NA
"29",29,0.52992,0.530736007905138,0.0103252867920727,-0.000816007905138361,29.2107600000008,6,NA
"30",30,0.530489,0.533067445759369,0.00212185090879797,-0.00257844575936883,26.7842400000018,2,NA
"31",31,0.532309,0.531817280632411,0.0115591631805231,0.000491719367588961,29.8431000000073,3,1791
"32",32,0.531286,0.531834530693069,0.00344648894027315,-0.00054853069306926,29.6671200000083,4,NA
"33",33,0.533333,0.53470706916996,0.00504605293893482,-0.00137406916996052,28.4310000000187,5,NA
"34",34,0.536064,0.53706796039604,0.00240696584392576,-0.00100396039603967,29.1878999999972,6,NA
"35",35,0.537315,0.541634841897233,0.00245704269854612,-0.00431984189723322,28.2584399999905,2,NA
"36",36,0.544596,0.545042231827112,0.0135175179520482,-0.000446231827112009,27.9443999999785,3,1792
"37",37,0.549261,0.54986700990099,0.00482658409701278,-0.000606009900990134,29.5447799999965,4,NA
"38",38,0.55165,0.552257952662722,0.00526695828939823,-0.000607952662721956,27.5928599999861,5,NA
"39",39,0.555973,0.557142213017751,0.00233797576164588,-0.00116921301775141,27.3086999999941,6,NA
"40",40,0.56041,0.561215299212598,0.0048770257751299,-0.00080529921259842,26.380020000006,2,NA
"41",41,0.563254,0.561512946850394,0.00582116267956348,0.00174105314960638,26.341199999988,3,NA
"42",42,0.563254,0.562214170588235,0.0136209633954271,0.00103982941176473,26.8124399999851,4,1788
"43",43,0.562912,0.564279595284872,0.00763685800897654,-0.00136759528487229,25.7487000000037,5,NA
"44",44,0.56678,0.567472866141732,0.00551417367082208,-0.000692866141732362,26.6081399999894,6,NA
"45",45,0.571672,0.572584935166994,0.007649507056433,-0.0009129351669942,25.6089599999814,2,NA
"46",46,0.576223,0.57527726171875,0.0160502842197908,0.000945738281249997,24.7918799999843,3,1792
"47",47,0.572014,0.57327246561886,0.00709185212620909,-0.00125846561886045,25.8128999999917,4,NA
"48",48,0.574175,0.579237094117647,0.0081401485733754,-0.00506209411764702,24.6014400000149,5,NA
"49",49,0.579181,0.585698377210216,0.00339323328481095,-0.00651737721021617,25.3017,6,NA
"50",50,0.584642,0.590176945205479,0.00950080821768067,-0.00553494520547948,23.8268399999924,2,NA
"51",51,0.5876,0.586357179337232,0.0153918295271984,0.00124282066276804,24.1043399999944,3,1789
"52",52,0.594084,0.5926619,0.00763255815490558,0.00142209999999998,24.6629999999823,4,NA
"53",53,0.595108,0.594649207843137,0.00714768086751419,0.000458792156862731,24.7630200000094,5,NA
"54",54,0.599204,0.599415849609375,0.0047906288254149,-0.000211849609375037,22.4991599999885,6,NA
"55",55,0.604323,0.602333974609375,0.00518276868686853,0.00198902539062507,22.7301599999919,2,NA
"56",56,0.605006,0.517488585301837,0.102703687788917,0.0875174146981628,23.2791000000179,3,NA
"57",57,0.443117,0.445484024096386,0.0056687633830652,-0.00236702409638556,36.2631599999986,4,NA
"58",58,0.443003,0.445354118473896,0.0105626591514694,-0.00235111847389563,36.7846199999985,5,NA
"59",59,0.443572,0.44536183935743,0.00942718076251175,-0.00178983935742971,36.3454199999887,6,NA
"60",60,0.442548,0.445256588353414,0.0017060994806435,-0.00270858835341364,35.4015599999912,2,NA
"61",61,0.443231,0.44458774497992,0.0070582612271386,-0.00135674497991967,36.3115199999993,3,NA
"62",62,0.442435,0.44411694,0.0114634487155178,-0.00168193999999999,37.6537200000075,4,1778
"63",63,0.440387,0.443039190380762,0.00837935717944944,-0.00265219038076153,36.1924799999997,5,NA
"64",64,0.440614,0.443107026209677,0.00341577359936808,-0.0024930262096774,37.8942000000006,6,NA
"65",65,0.440046,0.442660354709419,0.00780562382192676,-0.00261435470941884,35.1811200000157,2,NA
"66",66,0.440956,0.44664277,0.00849438638568075,-0.00568677000000001,36.9819000000189,3,1779
"67",67,0.441297,0.448619285140562,0.00305587233394135,-0.00732228514056227,36.5599799999927,4,NA
"68",68,0.441638,0.451718975855131,0.00776076265630385,-0.0100809758551308,38.2825200000025,5,NA
"69",69,0.441069,0.450452554216867,0.0111649233737506,-0.00938355421686748,37.603199999985,6,NA
"70",70,0.441866,0.449517989878543,0.0089564868795204,-0.00765198987854254,40.2013199999874,2,NA
"71",71,0.443117,0.450875385395538,0.0083784097353037,-0.00775838539553753,44.192579999999,3,1788
"72",72,0.440956,0.449356993963783,0.0114893548029587,-0.00840099396378269,38.3979599999839,4,NA
"73",73,0.442548,0.454935709090909,0.0109339228578287,-0.0123877090909091,40.0424999999996,5,NA
"74",74,0.440501,0.448156853707415,0.00957414663244718,-0.00765585370741484,35.8212600000024,6,NA
"75",75,0.441183,0.449355098393574,0.00952510869197412,-0.0081720983935743,36.7654199999924,2,NA
"76",76,0.440387,0.447682665995976,0.00251681242274448,-0.00729566599597586,36.5706600000067,3,NA
